,DRÜCK MICH!,,,,,,,,,,,,,,,,
Einwohnerzahl,Kommune,"Homepage 
Kommune",PLZ,Sublevel Wasserwerk / Stadtteile,"Sublevel
Straßennetz
(falls angegeben)","bei Dopplung 
Datenhalter jeweils
eintragen",Details,"Daten-Link
Wasserdaten",Natrium,Kalium,Calcium,Magnesium,Chlorid,Nitrat,Sulfat,"Härte
Wert","Härte
Bereich"
313.174,Mannheim,http://www.mannheim.de/,,Käfertal,,,,"https://www.mvv-energie.de/media/media/downloads/privatkunden/wasseranalysen/trinkwasseranalyse_wwkae.pdf
https://www.mvv-energie.de/de/privatkunden/wasser/wasserqualitaet/wasserqualitaet_1.jsp","13,3",,113,"13,9","19,6","1,3","60,4",19,"hart 3,4"
313.174,Mannheim,http://www.mannheim.de/,68159,Rheinau,,,,"https://www.mvv-energie.de/media/media/downloads/privatkunden/wasseranalysen/trinkwasseranalyse_wwrh.pdf
https://www.mvv-energie.de/de/privatkunden/wasser/wasserqualitaet/wasserqualitaet_1.jsp","33,1",,105,"20,6","42,5","20,8","84,3","19,4","hart 3,47"
313.174,Mannheim,http://www.mannheim.de/,68159,Schwetzinger Hardt,,,,"https://www.mvv-energie.de/media/media/downloads/privatkunden/wasseranalysen/trinkwasseranalyse_wwsh.pdf
https://www.mvv-energie.de/de/privatkunden/wasser/wasserqualitaet/wasserqualitaet_1.jsp","7,74",,101,"17,2","13,4","1,1","45,5","18,1","hart 3,24"
164.351,Ludwigshafen,http://www.ludwigshafen.de/,67059,"Hemshof, Mitte, West, Süd, Gartenstadt, Mundenheim, Rheingönheim, Altrip",,,Wasserwerk I PARKINSEL,Trinkwasseranalyse,"37,6","2,6","92,3","12,8","35,2","1,6","11,7","15,8","hart 2,83"
164.351,Ludwigshafen,http://www.ludwigshafen.de/,67059,"Pfingstweide, Edigheim, Oppau, Oggersheim, Friesenheim, Ruchheim, Maudach",,,Wasserwerk II Maudach-Oggersheim,Trinkwasseranalyse,"29,9","2,4","62,8",8,"20,5","2,3","33,5","10,6","mittel 1,9"
147.312,Heidelberg,http://www.heidelberg.de/,69117,Schlierbach und Quellen,,,,http://www.swhd.de/cms/Trinkwasser/Wasserqualitaet/Wasserqualitaet.html,"14,2",,"43,8","7,7","24,8","2,3","27,8","3-8,4",weich
147.312,Heidelberg,http://www.heidelberg.de/,69117,Entensee und Rauschen,,,,http://www.swhd.de/cms/Trinkwasser/Wasserqualitaet/Wasserqualitaet.html,"13,6",,"101,6",18,"9,1","5,8","17,6",18-21,hart
147.312,Heidelberg,http://www.heidelberg.de/,69117,Rauschen und Hardt,,,,http://www.swhd.de/cms/Trinkwasser/Wasserqualitaet/Wasserqualitaet.html,,,,,,,,,hart
147.312,Heidelberg,http://www.heidelberg.de/,,Hardt,,,,,,,,,,,,,
81.736,Worms,http://www.worms.de/,67547,Wasserwerk im Bürstadter Wald,,,,http://ewr.de/fileadmin/Dateien/EWR_Netz_GmbH/Unternehmen/Standorte/Wasserwerk/Kundenanalyse_Worms_Stand_2013_1.pdf,"8,8","1,2",105,"11,1",17,<1,50,"17,6",hart
52.855,Neustadt a. d. Weinstraße,http://www.neustadt-weinstrasse.de/,67433,,,,,https://www.swneustadt.de/content/e7/e138/e147/e1044/e3210/TrinkwasseranalyseMitte2014.pdf,"10,5","2,5","29,7","5,3","10,9",,"17,7","5,4",weich
49.857,Speyer,http://www.speyer.de,67346,,,,,http://www.sws.speyer.de/cms/Preise_und_Leistungen/Wasser/Trinkwasseranalyse/Trinkwasseranalyse.html,"12,5","2,3","79,7","11,8",,"1,1",<5,"13,9",hart
46.793,Frankenthal,http://www.frankenthal.de/,67227,,,,,https://www.stw-frankenthal.de/fileadmin/user_upload/Wasseranalyse_ft_02_2014.pdf,"28,6","2,6","72,3","10,6","13,8",2,"12,3","12,5",mittel
43.682,Weinheim,http://www.weinheim.de/,69469,"Kernstadt, Sulzbach, Lützelsachsen, Hohensachsen, Waid, Ofling, Gorxheimertal",,,,http://www.sww.de/downloads/79/SWW_Wasser-Flyer_BadBergstr_web.pdf,"10,3",     - ,"87,4","11,7",8,"0,4",3,"14,9",hart
43.615,Landau,http://www.landau.de/,76829,,,,,http://www.landau-land.de/fileadmin/user_upload/redakteure/werke/trinkwasserqualitaet_2011_jan.pdf,,,,,,,,,
39.729,Bensheim,http://www.bensheim.de/,64625,,,,,http://www.ggew.de/UN/Energie_und_Wasser/Wasser/,"14,3","2,08",104,"14,6","25,2","1,3","52,7","17,9",hart
35.392,Sinsheim,http://www.sinsheim.de/,74889,,,,,,,,,,,,,,
32.601,Viernheim,http://www.viernheim.de/,,,,,,http://www.stadtwerke-viernheim.de/pdf/wasseranalyse.pdf,"11,9",,113,14,"18,7",1,"59,5","19,1",hart
31.337,Lampertheim,http://www.lampertheim.de/,68623,,,,,,,,,,,,,,
27.225,Leimen,http://www.leimen.de/,,,,,,,,,,,,,,,
26.034,Wiesloch,http://www.wiesloch.de/,69168,,,,,http://www.stadtwerke-wiesloch.de/servlet/PB/show/1650105/Analyse%20HPW.pdf,"8,2","1,2",121,"21,4","10,3",1,116,20,hart
25.266,Heppenheim,http://www.heppenheim.de/,64646,,,,,http://www.wzs-osthofen.de/FILES/UPLOAD/2013-Probe1.pdf,38,"3,3",104,"24,8",39,"0,7",66,"20,3",hart
24.490,Mosbach,http://www.mosbach.de/,74819,,,,,,,,,,,,,,
21.789,Schwetzingen,http://www.schwetzingen.de/,68723,Schwetzinger Hardt,,,,https://www.stadtwerke-schwetzingen.de/downloads/trinkwasser/trinkwasseranalyse_02_2014.pdf,"7,16",,"98,4","17,7","7,5","0,8",1,"17,8",hart
