Stadt,Ortsteil,Straße,Zone,Härtegrad,Natrium,Kalium,Calcium,Magnesium,Chlorid,Nitrat,Sulfat,Anmerkungen,Jahresmittelwerte,Quelle
Abstatt,Happenbach,,,"15,3",8,"2,3",79,18,9,"8,3",84,,2014,"Hochbehälter Unterheinriet, Mischwasser aus Bodenseewasser und Quellwasser der Heumahdenquelle"
Abstatt,Gewerbegebiet Abstatt,,,"15,3",8,"2,3",79,18,9,"8,3",84,,2014,"Hochbehälter Unterheinriet, Mischwasser aus Bodenseewasser und Quellwasser der Heumahdenquelle"
Abstatt,Kernstadt,alle anderen Straßen,Zone 1,"15,5","6,8","1,7",83,17,17,13,68,,2014,"Haupthochbehälter Stettenfels,Mischwasser aus Bodenseewasser und Pumpwerk Auenstein."
Abstatt,Kernstadt,Ahornstraße,Zone 2,"15,3",8,"2,3",79,18,9,"8,3",84,,2014,"Hochbehälter Unterheinriet, Mischwasser aus Bodenseewasser und Quellwasser der Heumahdenquelle"
Abstatt,Kernstadt,Akazienstraße,Zone 2,"15,3",8,"2,3",79,18,9,"8,3",84,,2014,"Hochbehälter Unterheinriet, Mischwasser aus Bodenseewasser und Quellwasser der Heumahdenquelle"
Abstatt,Kernstadt,Buchenweg,Zone 2,"15,3",8,"2,3",79,18,9,"8,3",84,,2014,"Hochbehälter Unterheinriet, Mischwasser aus Bodenseewasser und Quellwasser der Heumahdenquelle"
Abstatt,Kernstadt,Eschenweg ,Zone 2,"15,3",8,"2,3",79,18,9,"8,3",84,,2014,"Hochbehälter Unterheinriet, Mischwasser aus Bodenseewasser und Quellwasser der Heumahdenquelle"
Abstatt,Kernstadt,Kastanienweg,Zone 2,"15,3",8,"2,3",79,18,9,"8,3",84,,2014,"Hochbehälter Unterheinriet, Mischwasser aus Bodenseewasser und Quellwasser der Heumahdenquelle"
Abstatt,Kernstadt,Pappelweg,Zone 2,"15,3",8,"2,3",79,18,9,"8,3",84,,2014,"Hochbehälter Unterheinriet, Mischwasser aus Bodenseewasser und Quellwasser der Heumahdenquelle"
Abstatt,Kernstadt,Plantanenweg,Zone 2,"15,3",8,"2,3",79,18,9,"8,3",84,,2014,"Hochbehälter Unterheinriet, Mischwasser aus Bodenseewasser und Quellwasser der Heumahdenquelle"
Abstatt,Kernstadt,Ulmenring,Zone 2,"15,3",8,"2,3",79,18,9,"8,3",84,,2014,"Hochbehälter Unterheinriet, Mischwasser aus Bodenseewasser und Quellwasser der Heumahdenquelle"
Abstatt,Kernstadt,Weidenweg,Zone 2,"15,3",8,"2,3",79,18,9,"8,3",84,,2014,"Hochbehälter Unterheinriet, Mischwasser aus Bodenseewasser und Quellwasser der Heumahdenquelle"
Abstatt,Kernstadt,Erlenweg,Zone 3,"15,5-15,3","6,8-8","1,7-2,3",79-83,17-18,9-17,"8,3-13",68-84,,2014,"Ein Teil der Staßen hat Wasser vom Haupthochbehälter Stettenfels,Mischwasser aus Bodenseewasser und PW Auenstein,
der andere Teil hat Wasser vom HB Unterheinriet/Happenbach, Mischwasser aus Bodenseewasser und Heumahdenqelle."
Abstatt,Kernstadt,Radäckerweg,Zone 3,"15,5-15,3","6,8-8","1,7-2,3",79-83,17-18,9-17,"8,3-13",68-84,,2014,"Ein Teil der Staßen hat Wasser vom Haupthochbehälter Stettenfels,Mischwasser aus Bodenseewasser und PW Auenstein,
der andere Teil hat Wasser vom HB Unterheinriet/Happenbach, Mischwasser aus Bodenseewasser und Heumahdenqelle."
Abstatt,Vohenlohe,,,"15,5","6,8","1,7",83,17,17,13,68,,2014,"Haupthochbehälter Stettenfels, Mischwasser aus Bodenseewasser und Pumpwerk Auenstein."
Bad Friedrichshall,Duttenberg,,,"12,9","14,9","2,1","68,4","14,3","27,9",10,"53,2",,2013,"Mischwasser, 50 % Bodenseewasser, 50 % Eigenwasser"
Bad Friedrichshall,Hagenbach,,,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,"Mischwasser, 50 % Bodenseewasser, 50 % Eigenwasser"
Bad Friedrichshall,Jagstfeld,,,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,"Mischwasser, 50 % Bodenseewasser, 50 % Eigenwasser"
Bad Friedrichshall,Kochendorf,Ahornweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Alter Schacht,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Am Bähnle,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Am Schachtsee,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Arndtstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Badstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Bahnhof Jagstfeld,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Bautzenweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Bei den Weiden,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Beim Alten Schacht,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Bergmannstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Birkenweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Blumenstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Bohnertstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Bolzstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Breslauer Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Buchenweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Buchhofweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Bunsenstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Christophstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Damaschkestr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Danziger Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Deutschordenstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Dresdener Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Eichendorffstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Eichenweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Erlenweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Eschenweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Fahräcker,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Fahrberg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Falkensteiner Weg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Farnweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Fichtestr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Fliederweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Franz-Hitze-Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Freiburger Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Friedhofstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Friedlandstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Friedrich-Ebert-St,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Friedrichshaller S,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Friedrichsplatz,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Frühmessgasse,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Ginsterweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Goethestr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Gottl.-Daimler-Str,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,H.-M.-Schleyer-Str,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Hagenbacher Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Haldenstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Hauffweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Hausäckerstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Heidelberger Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Heideweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Hermann-Löns-Weg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Heuchlinger Feld,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Heuchlinger Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Hohe Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Hohenmölsener Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Hübschjörgenstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Im Finkenschlag,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Im Holderbusch,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,In Den Tatschen,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Industriestr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Isenbütteler Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Jagstfelder Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Jagstfelder Weg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Jahnstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Joh.Gutenberg-Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Johann-Simon-Bräuninger-Weg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Josef-Gantner-Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Kanalstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Karl-Benz-Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Karl-Marx-Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Karlsbader Weg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Karlsruher Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Kelterstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Kettelerstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Kiliansplatz,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Kleiststr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Kochendorfer Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Kocherwaldstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Kolpingstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Königsberger Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Krokusweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Kurze Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Landhausstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Lerchenstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Lessingstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Lilienweg,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Marienstr.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Max-Eyth-Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
Bad Friedrichshall,Kochendorf,Max-Planck-Str.,Nord,16,"7,8","1,3","87,8","15,9",22,"20,7","45,3",,2013,Mischwasser
