Stadt;Ortsteil;Straße;Zone;Härtegrad;Natrium;Kalium;Calcium;Magnesium;Chlorid;Nitrat;Sulfat;Anmerkungen;Jahresmittelwerte;Quelle
Abstatt;Abstatt;;;;;;;;;;;;;
Abstatt;Happenbach;;;15,7;;;;;;13;;;2013;Haupthochbehälter Stettenfels, Mischwasser aus Bodenseewasser und Pumpwerk Auenstein
Abstatt;Vohenlohe;;;15,7;;;;;;13;;;2013;Haupthochbehälter Stettenfels, Mischwasser aus Bodenseewasser und Pumpwerk Auenstein
Bad Friedrichshall;Duttenberg;;;12,9;14,9;2,1;68,4;14,3;27,9;10;53,2;;2013;Mischwasser, 50 % Bodensee, 50 % Eigenwasser
Bad Friedrichshall;Hagenbach;;;16;7,8;1,3;87,8;15,9;22;20,7;45,3;;2013;Mischwasser, 50 % Bodensee, 50 % Eigenwasser
Bad Friedrichshall;Jagstfeld;;;16;7,8;1,3;87,8;15,9;22;20,7;45,3;;2013;Mischwasser, 50 % Bodensee, 50 % Eigenwasser
Bad Friedrichshall;Plattenwald;;;11,9;5,7;1,4;64,7;12,4;14,6;16,1;37,9;;2013;Mischwasser, 50 % Bodensee, 50 % Eigenwasser
Bad Friedrichshall;Untergriesheim;;;14,9;6,6;1,3;81,7;14,8;20;20,4;40,1;;2013;Mischwasser, 50 % Bodensee, 50 % Eigenwasser
Bad Rappenau;Babstadt;;;12,9;16,1;2,2;68,8;14,1;30,7;13,9;48,5;;2014;Mischwasser
Bad Rappenau;Bonfeld;;;12,9;16,1;2,2;68,8;14,1;30,7;13,9;48,5;;2014;Mischwasser
Bad Rappenau;Fürfeld;;;12,9;16,1;2,2;68,8;14,1;30,7;13,9;48,5;;2014;Mischwasser
Bad Rappenau;Grombach;;;12,9;16,1;2,2;68,8;14,1;30,7;13,9;48,5;;2014;Mischwasser
Bad Rappenau;Heinsheim;;;12,9;16,1;2,2;68,8;14,1;30,7;13,9;48,5;;2014;Mischwasser
Bad Rappenau;Kernstadt;;;12,9;16,1;2,2;68,8;14,1;30,7;13,9;48,5;;2014;Mischwasser
Bad Rappenau;Obergimpern;;;12,1;17,9;2,5;67,2;11,8;30,5;14,4;47,9;;2014;Mischwasser
Bad Rappenau;Treschklingen;;;12,9;16,1;2,2;68,8;14,1;30,7;13,9;48,5;;2014;Mischwasser
Bad Rappenau;Wollenberg;;;12,1;17,9;2,5;67,2;11,8;30,5;14,4;47,9;;2014;Mischwasser
Bad Wimpfen;;;;;;;;;;;;;;
Beilstein;;;;;;;;;;;;;;
Brackenheim;Botenheim;;;13,21;12,4;1,8;102;24,9;25,7;25,6;105;;2012;Hochbehälter Muckenloch, Mischwasser
Brackenheim;Brackenheim;;;13,21;12,4;1,8;102;24,9;25,7;25,6;105;Bereiche etwas unklar, http://www.brackenheim.de/index.php?id=495;2012;Hochbehälter Muckenloch, Mischwasser
Brackenheim;Dürrenzimmern;;;13,21;12,4;1,8;102;24,9;25,7;25,6;105;;2012;Hochbehälter Muckenloch, Mischwasser
Brackenheim;Hausen;;;13,21;12,4;1,8;102;24,9;25,7;25,6;105;;2012;Hochbehälter Muckenloch, Mischwasser
Brackenheim;Meimsheim;;;13,21;12,4;1,8;102;24,9;25,7;25,6;105;;2012;Hochbehälter Muckenloch, Mischwasser
Brackenheim;Neipperg;;;9;5,4;1,4;50;8;7,2;4,3;33;;2013;Reines Bodenseewasser
Brackenheim;Stocksberg Haberschlacht;;;9;5,4;1,4;50;8;7,2;4,3;33;;2013;Reines Bodenseewasser
Brackenheim;Stocksberg Stockheim;;;9;5,4;1,4;50;8;7,2;4,3;33;;2013;Reines Bodenseewasser
Cleebronn;;;;25,3;12,2;2,1;120,3;36,7;11,4;7,9;247;Grenzwert Sulfat 250!;2012;Mischwasser
Eberstadt;;;;'23-25;13;'2-3;'100-120;'34-37;29;'19-20;'137-145;;2013;Mischwasser, 50 % Bodensee, 50 % Eigenwasser
Ellhofen;;;;14,9;7,3;2;75,6;18,8;12,8;11,3;73,1;;2013;
Eppingen;Adelshofen;;;20,1;6,8;1,6;106;22,8;30,5;29,9;45,7;;2014;Mischwasser
Eppingen;Elsenz;;;20,1;6,8;1,6;106;22,8;30,5;29,9;45,7;;2014;Mischwasser
Eppingen;Kernstadt;;;20,1;6,8;1,6;106;22,8;30,5;29,9;45,7;;2014;Mischwasser
Eppingen;Kleingartach;;;20,1;6,8;1,6;106;22,8;30,5;29,9;45,7;;2014;Mischwasser
Eppingen;Mühlbach;;;18,5;5,91;1,48;90,8;25,1;22,2;27,4;41,8;;2014;Mischwasser
Eppingen;Richen;;;20,1;6,8;1,6;106;22,8;30,5;29,9;45,7;;2014;Mischwasser
Eppingen;Rohrbach;;;20,1;6,8;1,6;106;22,8;30,5;29,9;45,7;;2014;Mischwasser
Erlenbach;;;;17,1;7,1;1,7;87,4;21;11,3;9,7;121;;2012;Mischwasser, 80 % NOW (Zweckverband Wasserversorgung Nordostwürttemberg), 20 % Eigenwasser
Flein;;;;9;5,2;1,4;48;8;7;4,2;34;;2012;100 % Bodenseewasser
Gemmingen;;;;12,9;16,1;2,2;68,8;14,1;30,7;13,9;48,5;;2014;Mischwasser
Gochsen;;;;22;12;1,4;105;31;46;22;34;;2013;Eigenwasser
Güglingen;;;;16,3;7;1,5;80,7;21,7;17;17,5;55,3;;2013;Mischwasser, 60 % Eigenwasser, 40 % Bodenseewasser
Gundelsheim;;;;;;;;;;;;2 mal angefragt;;
Hardthausen;;;;;;;;;;;;angefragt;;
Haßmersheim;Haßmersheim;;;12,9;23,7;2,9;71,6;12,5;39,2;19,9;55,7;;2014;Mischwasser
Haßmersheim;Hochhausen;;;9;5,2;1,4;48;8;7;4,2;35;;2014;Mischwasser
Haßmersheim;Neckarmühlbach;;;12,9;23,7;2,9;71,6;12,5;39,2;19,9;55,7;;2014;Mischwasser
Hüffenhardt;;;;12,1;17,9;2,5;67,2;11,8;30,5;14,4;47,9;;2014;Mischwasser
